s1r2_0_1_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.021,0.271,0.432,0.411,0.392,0.371,0.361,0.341,0.271,0.181
T30 [s],,1.046,0.663,0.542,0.395,0.371,0.381,0.36,0.322,0.295,0.188
T60,,1.0335,0.467,0.487,0.403,0.3815,0.376,0.3605,0.3315,0.283,0.1845
STI male,,0.88 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r2_0_1_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.361,0.332,0.377,0.333,0.4,0.38,0.339,0.341,0.309,0.202
T30 [s],,0.257,0.519,0.418,0.375,0.382,0.384,0.346,0.34,0.33,0.199
T60,,0.309,0.4255,0.3975,0.354,0.391,0.382,0.3425,0.3405,0.3195,0.2005
STI male,,0.92 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r2_0_1_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.625,1.376,0.695,0.481,0.421,0.424,0.346,0.294,0.272,0.19
T30 [s],,1.267,1.905,0.767,0.583,0.399,0.393,0.357,0.312,0.289,0.186
T60,,1.446,1.6405,0.731,0.532,0.41,0.4085,0.3515,0.303,0.2805,0.188
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r2_0_1_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.68,0.541,0.497,0.321,0.36,0.371,0.333,0.316,0.281,0.184
T30 [s],,0.826,0.675,0.532,0.413,0.37,0.383,0.345,0.312,0.283,0.187
T60,,0.753,0.608,0.5145,0.367,0.365,0.377,0.339,0.314,0.282,0.1855
STI male,,0.85 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r2_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.021,0.271,0.432,0.411,0.392,0.371,0.361,0.341,0.271,0.181
T30 [s],,1.046,0.663,0.542,0.395,0.371,0.381,0.36,0.322,0.295,0.188
T60,,1.0335,0.467,0.487,0.403,0.3815,0.376,0.3605,0.3315,0.283,0.1845
STI male,,0.88 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r2_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.361,0.332,0.377,0.333,0.4,0.38,0.339,0.341,0.309,0.202
T30 [s],,0.257,0.519,0.418,0.375,0.382,0.384,0.346,0.34,0.33,0.199
T60,,0.309,0.4255,0.3975,0.354,0.391,0.382,0.3425,0.3405,0.3195,0.2005
STI male,,0.92 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r2_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.625,1.376,0.695,0.481,0.421,0.424,0.346,0.294,0.272,0.19
T30 [s],,1.267,1.905,0.767,0.583,0.399,0.393,0.357,0.312,0.289,0.186
T60,,1.446,1.6405,0.731,0.532,0.41,0.4085,0.3515,0.303,0.2805,0.188
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r2_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.68,0.541,0.497,0.321,0.36,0.371,0.333,0.316,0.281,0.184
T30 [s],,0.826,0.675,0.532,0.413,0.37,0.383,0.345,0.312,0.283,0.187
T60,,0.753,0.608,0.5145,0.367,0.365,0.377,0.339,0.314,0.282,0.1855
STI male,,0.85 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r4_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.788,0.72,0.476,0.378,0.415,0.389,0.35,0.307,0.26,0.149
T30 [s],,0.828,1.05,0.545,0.433,0.426,0.394,0.361,0.322,0.291,0.164
T60,,0.808,0.885,0.5105,0.4055,0.4205,0.3915,0.3555,0.3145,0.2755,0.1565
STI male,,0.87 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r4_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.72,0.641,0.419,0.304,0.43,0.385,0.355,0.359,0.304,0.141
T30 [s],,0.686,0.78,0.636,0.348,0.421,0.395,0.358,0.346,0.321,0.164
T60,,0.703,0.7105,0.5275,0.326,0.4255,0.39,0.3565,0.3525,0.3125,0.1525
STI male,,0.91 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r4_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.838,1.185,0.517,0.388,0.397,0.384,0.398,0.32,0.285,0.138
T30 [s],,0.758,1.196,0.82,0.427,0.397,0.402,0.388,0.317,0.294,0.169
T60,,0.798,1.1905,0.6685,0.4075,0.397,0.393,0.393,0.3185,0.2895,0.1535
STI male,,0.81 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r4_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.559,0.833,0.528,0.297,0.385,0.375,0.332,0.309,0.265,0.144
T30 [s],,0.465,0.769,0.549,0.342,0.404,0.386,0.341,0.318,0.281,0.169
T60,,0.512,0.801,0.5385,0.3195,0.3945,0.3805,0.3365,0.3135,0.273,0.1565
STI male,,0.83 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r7_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.883,0.631,0.496,0.353,0.445,0.416,0.373,0.303,0.297,0.261
T30 [s],,0.949,0.932,0.456,0.351,0.447,0.418,0.386,0.331,0.299,0.209
T60,,0.916,0.7815,0.476,0.352,0.446,0.417,0.3795,0.317,0.298,0.235
STI male,,0.79 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r7_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.759,0.757,0.433,0.356,0.432,0.403,0.387,0.306,0.294,0.289
T30 [s],,0.822,0.72,0.473,0.347,0.4,0.404,0.38,0.328,0.309,0.214
T60,,0.7905,0.7385,0.453,0.3515,0.416,0.4035,0.3835,0.317,0.3015,0.2515
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r7_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,3.8,1.023,0.506,0.376,0.447,0.405,0.408,0.325,0.295,0.237
T30 [s],,0.766,0.895,0.605,0.381,0.439,0.415,0.391,0.326,0.294,0.216
T60,,2.283,0.959,0.5555,0.3785,0.443,0.41,0.3995,0.3255,0.2945,0.2265
STI male,,0.78 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s1r7_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.764,0.595,0.478,0.261,0.432,0.438,0.381,0.316,0.304,0.241
T30 [s],,0.772,0.791,0.497,0.332,0.41,0.413,0.384,0.321,0.29,0.216
T60,,0.768,0.693,0.4875,0.2965,0.421,0.4255,0.3825,0.3185,0.297,0.2285
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
s2r4_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.349,0.888,0.463,0.382,0.407,0.379,0.368,0.315,0.238,0.128
T30 [s],,1.443,1.04,0.761,0.382,0.384,0.384,0.36,0.318,0.284,0.162
T60,,1.896,0.964,0.612,0.382,0.3955,0.3815,0.364,0.3165,0.261,0.145
STI male,,0.87 (Excellent),,,,,,,,,
,,,,,,,,,,,
