1_s_mainlevel_r_mainlevel_0_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.778,1.399,1.133,0.805,0.729,0.583,0.452,0.367,0.309,0.21
T30 [s],,1.875,1.451,1.219,0.904,0.698,0.587,0.474,0.381,0.321,0.216
T60,,1.8265,1.425,1.176,0.8545,0.7135,0.585,0.463,0.374,0.315,0.213
STI male,,0.82 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel_0_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.496,1.71,1.358,0.983,0.673,0.552,0.446,0.371,0.295,0.204
T30 [s],,1.58,1.572,1.226,0.963,0.717,0.551,0.443,0.364,0.307,0.208
T60,,1.538,1.641,1.292,0.973,0.695,0.5515,0.4445,0.3675,0.301,0.206
STI male,,0.87 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel_0_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.476,1.574,1.21,0.896,0.643,0.571,0.48,0.399,0.311,0.209
T30 [s],,1.559,1.639,1.192,0.97,0.669,0.586,0.484,0.398,0.316,0.215
T60,,1.5175,1.6065,1.201,0.933,0.656,0.5785,0.482,0.3985,0.3135,0.212
STI male,,0.78 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel_0_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.247,1.242,0.992,0.839,0.691,0.522,0.454,0.378,0.313,0.219
T30 [s],,1.242,1.244,1.094,0.844,0.717,0.551,0.455,0.38,0.322,0.222
T60,,1.2445,1.243,1.043,0.8415,0.704,0.5365,0.4545,0.379,0.3175,0.2205
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.778,1.399,1.133,0.805,0.729,0.583,0.452,0.367,0.309,0.21
T30 [s],,1.875,1.451,1.219,0.904,0.698,0.587,0.474,0.381,0.321,0.216
T60,,1.8265,1.425,1.176,0.8545,0.7135,0.585,0.463,0.374,0.315,0.213
STI male,,0.82 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.496,1.71,1.358,0.983,0.673,0.552,0.446,0.371,0.295,0.204
T30 [s],,1.58,1.572,1.226,0.963,0.717,0.551,0.443,0.364,0.307,0.208
T60,,1.538,1.641,1.292,0.973,0.695,0.5515,0.4445,0.3675,0.301,0.206
STI male,,0.87 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.476,1.574,1.21,0.896,0.643,0.571,0.48,0.399,0.311,0.209
T30 [s],,1.559,1.639,1.192,0.97,0.669,0.586,0.484,0.398,0.316,0.215
T60,,1.5175,1.6065,1.201,0.933,0.656,0.5785,0.482,0.3985,0.3135,0.212
STI male,,0.78 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.247,1.242,0.992,0.839,0.691,0.522,0.454,0.378,0.313,0.219
T30 [s],,1.242,1.244,1.094,0.844,0.717,0.551,0.455,0.38,0.322,0.222
T60,,1.2445,1.243,1.043,0.8415,0.704,0.5365,0.4545,0.379,0.3175,0.2205
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel2_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.12,1.011,0.822,0.687,0.716,0.55,0.445,0.374,0.315,0.217
T30 [s],,0.937,0.851,0.826,0.701,0.605,0.534,0.457,0.377,0.324,0.216
T60,,1.0285,0.931,0.824,0.694,0.6605,0.542,0.451,0.3755,0.3195,0.2165
STI male,,0.83 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel2_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.071,1.031,1.072,0.84,0.634,0.539,0.438,0.369,0.293,0.2
T30 [s],,0.903,1.063,0.947,0.781,0.614,0.523,0.44,0.368,0.307,0.21
T60,,0.987,1.047,1.0095,0.8105,0.624,0.531,0.439,0.3685,0.3,0.205
STI male,,0.87 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel2_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.87,1.074,0.801,0.721,0.537,0.566,0.461,0.39,0.318,0.204
T30 [s],,0.765,0.894,0.812,0.738,0.527,0.541,0.454,0.381,0.318,0.21
T60,,0.8175,0.984,0.8065,0.7295,0.532,0.5535,0.4575,0.3855,0.318,0.207
STI male,,0.78 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1_s_mainlevel_r_mainlevel2_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.887,0.79,0.8,0.792,0.61,0.501,0.442,0.367,0.317,0.221
T30 [s],,0.802,0.807,0.715,0.693,0.595,0.504,0.438,0.366,0.318,0.223
T60,,0.8445,0.7985,0.7575,0.7425,0.6025,0.5025,0.44,0.3665,0.3175,0.222
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2_r_rhcbottom_s_rhc_mouth_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.579,2.072,1.338,0.863,0.449,0.453,0.427,0.405,0.33,0.277
T30 [s],,2.32,1.885,1.55,1.075,1.16,1.124,1.124,1.037,0.588,0.316
T60,,2.4495,1.9785,1.444,0.969,0.8045,0.7885,0.7755,0.721,0.459,0.2965
STI male,,0.82 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2_s_mainlevel_r_mouth_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.762,0.75,0.929,0.758,0.604,0.552,0.445,0.368,0.304,0.208
T30 [s],,0.839,0.767,0.777,0.673,0.564,0.521,0.423,0.366,0.309,0.22
T60,,0.8005,0.7585,0.853,0.7155,0.584,0.5365,0.434,0.367,0.3065,0.214
STI male,,0.80 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2_s_mainlevel_r_mouth_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.896,0.734,0.853,0.708,0.561,0.526,0.449,0.341,0.298,0.209
T30 [s],,0.714,0.74,0.751,0.664,0.531,0.512,0.427,0.356,0.307,0.213
T60,,0.805,0.737,0.802,0.686,0.546,0.519,0.438,0.3485,0.3025,0.211
STI male,,0.81 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2_s_mainlevel_r_mouth_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.08,0.968,0.584,0.547,0.578,0.484,0.423,0.343,0.294,0.201
T30 [s],,1.014,0.944,0.581,0.57,0.548,0.46,0.41,0.349,0.306,0.213
T60,,1.047,0.956,0.5825,0.5585,0.563,0.472,0.4165,0.346,0.3,0.207
STI male,,0.79 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2_s_mainlevel_r_mouth_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.726,0.973,0.705,0.707,0.481,0.51,0.45,0.358,0.292,0.206
T30 [s],,0.658,0.913,0.736,0.684,0.511,0.486,0.416,0.35,0.305,0.209
T60,,0.692,0.943,0.7205,0.6955,0.496,0.498,0.433,0.354,0.2985,0.2075
STI male,,0.79 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3_s_mainlevel_r_furtherin_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.73,0.865,0.787,0.692,0.546,0.508,0.464,0.366,0.298,0.213
T30 [s],,0.689,0.812,0.781,0.615,0.542,0.49,0.438,0.363,0.307,0.22
T60,,0.7095,0.8385,0.784,0.6535,0.544,0.499,0.451,0.3645,0.3025,0.2165
STI male,,0.75 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3_s_mainlevel_r_furtherin_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.747,1.013,0.854,0.653,0.626,0.556,0.439,0.366,0.308,0.214
T30 [s],,0.674,0.978,0.779,0.624,0.604,0.519,0.434,0.362,0.307,0.22
T60,,0.7105,0.9955,0.8165,0.6385,0.615,0.5375,0.4365,0.364,0.3075,0.217
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3_s_mainlevel_r_furtherin_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.921,0.823,0.819,0.691,0.601,0.591,0.464,0.366,0.298,0.208
T30 [s],,0.804,0.83,0.701,0.646,0.495,0.515,0.431,0.358,0.309,0.213
T60,,0.8625,0.8265,0.76,0.6685,0.548,0.553,0.4475,0.362,0.3035,0.2105
STI male,,0.75 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
3_s_mainlevel_r_furtherin_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.828,0.957,0.826,0.56,0.542,0.543,0.439,0.368,0.309,0.214
T30 [s],,0.761,0.911,0.784,0.578,0.522,0.493,0.419,0.354,0.306,0.222
T60,,0.7945,0.934,0.805,0.569,0.532,0.518,0.429,0.361,0.3075,0.218
STI male,,0.74 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
6_r_pinholemouth_s_pinholepath_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.07,2.232,1.306,1.271,1.25,1.175,1.061,0.954,0.729,0.398
T30 [s],,0.048,1.357,1.535,1.135,1.116,1.041,0.965,0.93,0.778,0.44
T60,,0.059,1.7945,1.4205,1.203,1.183,1.108,1.013,0.942,0.7535,0.419
STI male,,0.69 (Good),,,,,,,,,
