r1_rir_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.225,1.3,1.207,1.143,1.065,1.106,1.082,0.845,0.635,0.345
T30 [s],,1.686,1.49,1.17,1.164,1.089,1.14,1.098,0.859,0.647,0.355
T60,,1.4555,1.395,1.1885,1.1535,1.077,1.123,1.09,0.852,0.641,0.35
STI male,,0.61 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r1_rir_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.229,1.054,0.931,1.002,1.111,1.07,1.048,0.831,0.599,0.341
T30 [s],,1.876,1.256,0.972,1.081,1.111,1.072,1.069,0.854,0.602,0.359
T60,,1.5525,1.155,0.9515,1.0415,1.111,1.071,1.0585,0.8425,0.6005,0.35
STI male,,0.65 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r1_rir_bformat_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.168,1.268,1.056,1.206,1.088,1.109,1.028,0.826,0.592,0.35
T30 [s],,1.567,1.453,1.019,1.191,1.1,1.123,1.068,0.852,0.594,0.355
T60,,1.3675,1.3605,1.0375,1.1985,1.094,1.116,1.048,0.839,0.593,0.3525
STI male,,0.61 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r1_rir_bformat_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.56,1.37,1.003,1.213,1.083,1.057,1.075,0.826,0.604,0.348
T30 [s],,1.835,1.571,1.069,1.333,1.107,1.102,1.068,0.86,0.618,0.363
T60,,1.6975,1.4705,1.036,1.273,1.095,1.0795,1.0715,0.843,0.611,0.3555
STI male,,0.60 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r1_rir_bformat_mono_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.225,1.3,1.207,1.143,1.065,1.106,1.082,0.845,0.635,0.345
T30 [s],,1.686,1.49,1.17,1.164,1.089,1.14,1.098,0.859,0.647,0.355
T60,,1.4555,1.395,1.1885,1.1535,1.077,1.123,1.09,0.852,0.641,0.35
STI male,,0.61 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r2_rir_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.047,1.259,1.136,1.108,1.126,1.069,1.049,0.846,0.603,0.34
T30 [s],,2.098,1.534,1.134,1.197,1.183,1.111,1.082,0.853,0.631,0.348
T60,,2.0725,1.3965,1.135,1.1525,1.1545,1.09,1.0655,0.8495,0.617,0.344
STI male,,0.58 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r2_rir_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.015,1.26,1.238,1.105,1.125,1.148,1.055,0.84,0.577,0.359
T30 [s],,1.706,1.42,1.166,1.163,1.144,1.158,1.076,0.869,0.596,0.359
T60,,1.8605,1.34,1.202,1.134,1.1345,1.153,1.0655,0.8545,0.5865,0.359
STI male,,0.60 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r2_rir_bformat_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.917,0.863,1.186,1.202,1.094,1.096,1.012,0.834,0.555,0.343
T30 [s],,1.821,1.649,1.216,1.289,1.128,1.12,1.049,0.843,0.599,0.353
T60,,1.369,1.256,1.201,1.2455,1.111,1.108,1.0305,0.8385,0.577,0.348
STI male,,0.59 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r2_rir_bformat_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.312,1.297,1.026,1.216,1.016,1.095,1.065,0.868,0.616,0.342
T30 [s],,2.308,1.943,1.102,1.397,1.04,1.115,1.085,0.861,0.626,0.36
T60,,2.31,1.62,1.064,1.3065,1.028,1.105,1.075,0.8645,0.621,0.351
STI male,,0.58 (Fair),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r3_rir_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.276,0.873,1.004,1.135,1.21,1.16,1.063,0.808,0.632,0.322
T30 [s],,1.402,1.501,1.017,1.209,1.152,1.149,1.072,0.857,0.645,0.342
T60,,1.339,1.187,1.0105,1.172,1.181,1.1545,1.0675,0.8325,0.6385,0.332
STI male,,0.60 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
r3_rir_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
