average_space_ir_0_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.422,0.395,0.322,0.262,0.139,0.173,0.193,0.219,0.209,0.166
T30 [s],,0.636,0.392,0.31,0.229,0.219,0.171,0.206,0.223,0.21,0.171
T60,,0.529,0.3935,0.316,0.2455,0.179,0.172,0.1995,0.221,0.2095,0.1685
STI male,,0.90 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
average_space_ir_0_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.481,0.325,0.217,0.221,0.191,0.176,0.201,0.217,0.21,0.166
T30 [s],,0.651,0.333,0.253,0.219,0.214,0.187,0.195,0.227,0.221,0.174
T60,,0.566,0.329,0.235,0.22,0.2025,0.1815,0.198,0.222,0.2155,0.17
STI male,,0.92 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
average_space_ir_0_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.447,0.472,0.272,0.271,0.189,0.191,0.198,0.224,0.206,0.17
T30 [s],,0.607,0.51,0.251,0.264,0.19,0.189,0.21,0.228,0.218,0.172
T60,,0.527,0.491,0.2615,0.2675,0.1895,0.19,0.204,0.226,0.212,0.171
STI male,,0.89 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
average_space_ir_0_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.442,0.343,0.274,0.242,0.251,0.176,0.19,0.217,0.206,0.175
T30 [s],,0.6,0.349,0.318,0.241,0.22,0.188,0.199,0.224,0.213,0.178
T60,,0.521,0.346,0.296,0.2415,0.2355,0.182,0.1945,0.2205,0.2095,0.1765
STI male,,0.90 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
crash_ir_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.433,0.336,0.306,0.233,0.199,0.199,0.205,0.208,0.198,0.17
T30 [s],,0.619,0.359,0.304,0.233,0.207,0.193,0.205,0.221,0.207,0.176
T60,,0.526,0.3475,0.305,0.233,0.203,0.196,0.205,0.2145,0.2025,0.173
STI male,,0.89 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
crash_ir_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.353,0.299,0.244,0.186,0.179,0.205,0.202,0.208,0.207,0.168
T30 [s],,0.65,0.319,0.252,0.245,0.195,0.191,0.204,0.218,0.212,0.172
T60,,0.5015,0.309,0.248,0.2155,0.187,0.198,0.203,0.213,0.2095,0.17
STI male,,0.89 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
crash_ir_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.843,0.75,0.288,0.226,0.213,0.213,0.19,0.209,0.205,0.175
T30 [s],,0.788,0.699,0.283,0.237,0.229,0.2,0.191,0.225,0.21,0.181
T60,,0.8155,0.7245,0.2855,0.2315,0.221,0.2065,0.1905,0.217,0.2075,0.178
STI male,,0.89 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
crash_ir_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.469,0.359,0.217,0.238,0.239,0.2,0.193,0.212,0.197,0.162
T30 [s],,0.641,0.421,0.288,0.233,0.235,0.201,0.2,0.22,0.207,0.17
T60,,0.555,0.39,0.2525,0.2355,0.237,0.2005,0.1965,0.216,0.202,0.166
STI male,,0.90 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
hh_ir_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.436,0.354,0.304,0.277,0.217,0.2,0.197,0.204,0.21,0.175
T30 [s],,0.654,0.401,0.312,0.272,0.235,0.216,0.205,0.218,0.211,0.18
T60,,0.545,0.3775,0.308,0.2745,0.226,0.208,0.201,0.211,0.2105,0.1775
