mine_site1_1way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.324,1.159,0.682,0.44,0.313,0.248,0.216,0.205,0.188,0.165
T30 [s],,1.242,1.329,0.89,0.484,0.367,0.324,0.219,0.203,0.187,0.154
T60,,1.283,1.244,0.786,0.462,0.34,0.286,0.2175,0.204,0.1875,0.1595
STI male,,0.86 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_1way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.518,1.105,0.827,0.525,0.297,0.247,0.241,0.22,0.188,0.156
T30 [s],,1.961,1.302,1.165,0.678,0.386,0.281,0.237,0.21,0.187,0.151
T60,,1.7395,1.2035,0.996,0.6015,0.3415,0.264,0.239,0.215,0.1875,0.1535
STI male,,0.89 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_1way_bformat_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.417,0.983,0.67,0.438,0.315,0.271,0.223,0.199,0.175,0.152
T30 [s],,2.066,1.3,0.738,0.608,0.397,0.274,0.247,0.208,0.183,0.15
T60,,1.7415,1.1415,0.704,0.523,0.356,0.2725,0.235,0.2035,0.179,0.151
STI male,,0.84 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_1way_bformat_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.423,0.665,0.791,0.392,0.326,0.246,0.239,0.2,0.175,0.145
T30 [s],,1.438,1.389,1.136,0.595,0.402,0.264,0.237,0.217,0.182,0.145
T60,,1.4305,1.027,0.9635,0.4935,0.364,0.255,0.238,0.2085,0.1785,0.145
STI male,,0.85 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_1way_mono_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.324,1.159,0.682,0.44,0.313,0.248,0.216,0.205,0.188,0.165
T30 [s],,1.242,1.329,0.89,0.484,0.367,0.324,0.219,0.203,0.187,0.154
T60,,1.283,1.244,0.786,0.462,0.34,0.286,0.2175,0.204,0.1875,0.1595
STI male,,0.86 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_2way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.403,1.186,0.685,0.487,0.466,0.268,0.235,0.23,0.205,0.173
T30 [s],,1.362,1.433,0.908,0.567,0.538,0.324,0.267,0.252,0.218,0.168
T60,,1.3825,1.3095,0.7965,0.527,0.502,0.296,0.251,0.241,0.2115,0.1705
STI male,,0.85 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_2way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.486,1.117,0.753,0.548,0.347,0.287,0.249,0.237,0.204,0.166
T30 [s],,1.936,1.312,1.136,0.748,0.43,0.34,0.287,0.237,0.214,0.164
T60,,1.711,1.2145,0.9445,0.648,0.3885,0.3135,0.268,0.237,0.209,0.165
STI male,,0.87 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_2way_bformat_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.427,1.001,0.672,0.462,0.379,0.302,0.261,0.225,0.21,0.164
T30 [s],,2.075,1.349,0.764,0.619,0.504,0.398,0.308,0.255,0.228,0.166
T60,,1.751,1.175,0.718,0.5405,0.4415,0.35,0.2845,0.24,0.219,0.165
STI male,,0.83 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_2way_bformat_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.452,0.671,0.807,0.372,0.354,0.283,0.278,0.21,0.193,0.159
T30 [s],,1.507,1.41,1.142,0.609,0.51,0.379,0.313,0.253,0.211,0.161
T60,,1.4795,1.0405,0.9745,0.4905,0.432,0.331,0.2955,0.2315,0.202,0.16
STI male,,0.83 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site1_2way_mono_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.403,1.186,0.685,0.487,0.466,0.268,0.235,0.23,0.205,0.173
T30 [s],,1.362,1.433,0.908,0.567,0.538,0.324,0.267,0.252,0.218,0.168
T60,,1.3825,1.3095,0.7965,0.527,0.502,0.296,0.251,0.241,0.2115,0.1705
STI male,,0.85 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site2_1way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.341,1.935,1.15,1.034,0.825,0.694,0.555,0.485,0.417,0.248
T30 [s],,2.477,2.069,1.353,1.12,0.841,0.69,0.584,0.507,0.427,0.275
T60,,2.409,2.002,1.2515,1.077,0.833,0.692,0.5695,0.496,0.422,0.2615
STI male,,0.77 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site2_1way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.296,2.623,1.131,1.096,0.821,0.72,0.567,0.449,0.379,0.239
T30 [s],,2.399,2.337,1.362,1.168,0.866,0.7,0.582,0.507,0.428,0.273
T60,,2.3475,2.48,1.2465,1.132,0.8435,0.71,0.5745,0.478,0.4035,0.256
STI male,,0.84 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
mine_site2_1way_bformat_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,2.334,1.68,1.38,1.015,0.823,0.685,0.619,0.49,0.421,0.254
T30 [s],,2.361,1.884,1.352,1.046,0.822,0.679,0.615,0.515,0.432,0.266
