tunnel_entrance_a_1way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.702,0.698,0.483,0.265,0.209,0.148,0.287,0.324,0.275,0.24
T30 [s],,0.651,0.663,0.666,0.38,0.295,0.334,0.313,0.333,0.301,0.231
T60,,0.6765,0.6805,0.5745,0.3225,0.252,0.241,0.3,0.3285,0.288,0.2355
STI male,,0.95 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
tunnel_entrance_a_1way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.17,0.651,0.424,0.191,0.107,0.168,0.327,0.351,0.281,0.236
T30 [s],,0.448,0.52,0.477,0.318,0.272,0.397,0.374,0.383,0.317,0.241
T60,,0.309,0.5855,0.4505,0.2545,0.1895,0.2825,0.3505,0.367,0.299,0.2385
STI male,,0.99 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
tunnel_entrance_a_1way_bformat_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.715,0.719,0.618,0.314,0.311,0.297,0.304,0.303,0.282,0.227
T30 [s],,0.649,0.695,0.647,0.939,0.318,0.319,0.337,0.333,0.304,0.23
T60,,0.682,0.707,0.6325,0.6265,0.3145,0.308,0.3205,0.318,0.293,0.2285
STI male,,0.87 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
tunnel_entrance_a_1way_bformat_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.64,0.644,0.402,0.246,0.218,0.232,0.265,0.304,0.283,0.235
T30 [s],,0.676,0.616,0.418,0.333,0.247,0.285,0.321,0.326,0.296,0.24
T60,,0.658,0.63,0.41,0.2895,0.2325,0.2585,0.293,0.315,0.2895,0.2375
STI male,,0.91 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
