koli_snow_site1_1way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.131,0.148,0.013,0.017,0.354,0.536,0.448,0.285,0.145,0.082
T30 [s],,0.124,0.124,0.033,0.164,0.465,0.704,0.652,0.373,0.278,0.172
T60,,0.1275,0.136,0.023,0.0905,0.4095,0.62,0.55,0.329,0.2115,0.127
STI male,,1.00 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site1_1way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.117,0.14,0.018,0.03,0.077,0.442,0.33,0.111,0.1,0.089
T30 [s],,0.104,0.125,0.032,0.156,0.161,0.78,0.716,0.331,0.231,0.105
T60,,0.1105,0.1325,0.025,0.093,0.119,0.611,0.523,0.221,0.1655,0.097
STI male,,1.00 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site1_1way_mono_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.131,0.148,0.013,0.017,0.354,0.536,0.448,0.285,0.145,0.082
T30 [s],,0.124,0.124,0.033,0.164,0.465,0.704,0.652,0.373,0.278,0.172
T60,,0.1275,0.136,0.023,0.0905,0.4095,0.62,0.55,0.329,0.2115,0.127
STI male,,1.00 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site1_4way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.129,0.148,0.015,0.011,0.238,0.49,0.546,0.345,0.267,0.136
T30 [s],,0.121,0.12,0.022,0.48,0.415,0.642,0.594,0.412,0.326,0.192
T60,,0.125,0.134,0.0185,0.2455,0.3265,0.566,0.57,0.3785,0.2965,0.164
STI male,,0.97 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site1_4way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.116,0.145,0.019,0.049,0.243,0.188,0.479,0.228,0.199,0.146
T30 [s],,0.104,0.126,0.027,0.074,0.343,0.57,0.71,0.324,0.262,0.146
T60,,0.11,0.1355,0.023,0.0615,0.293,0.379,0.5945,0.276,0.2305,0.146
STI male,,1.00 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site1_4way_mono_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.129,0.148,0.015,0.011,0.238,0.49,0.546,0.345,0.267,0.136
T30 [s],,0.121,0.12,0.022,0.48,0.415,0.642,0.594,0.412,0.326,0.192
T60,,0.125,0.134,0.0185,0.2455,0.3265,0.566,0.57,0.3785,0.2965,0.164
STI male,,0.97 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site1_4way_mono_processed_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.128,0.148,0.015,0.011,0.239,0.49,0.546,0.345,0.268,0.144
T30 [s],,0.12,0.12,0.022,0.42,0.451,0.641,0.594,0.412,0.329,0.212
T60,,0.124,0.134,0.0185,0.2155,0.345,0.5655,0.57,0.3785,0.2985,0.178
STI male,,0.97 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site2_1way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.101,0.133,0.236,0.583,0.922,0.714,0.513,0.359,0.257,0.226
T30 [s],,0.088,0.108,0.373,1.014,1.058,0.984,0.685,0.432,0.325,0.237
T60,,0.0945,0.1205,0.3045,0.7985,0.99,0.849,0.599,0.3955,0.291,0.2315
STI male,,0.97 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site2_1way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.1,0.124,0.161,0.747,0.657,0.668,0.498,0.349,0.282,0.227
T30 [s],,0.086,0.11,0.273,1.012,1.027,0.832,0.582,0.445,0.367,0.224
T60,,0.093,0.117,0.217,0.8795,0.842,0.75,0.54,0.397,0.3245,0.2255
STI male,,0.99 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site2_1way_mono_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.101,0.133,0.236,0.583,0.922,0.714,0.513,0.359,0.257,0.226
T30 [s],,0.088,0.108,0.373,1.014,1.058,0.984,0.685,0.432,0.325,0.237
T60,,0.0945,0.1205,0.3045,0.7985,0.99,0.849,0.599,0.3955,0.291,0.2315
STI male,,0.97 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site2_4way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.122,0.129,0.217,0.497,0.86,1.002,0.574,0.432,0.349,0.272
T30 [s],,0.093,0.112,0.353,0.831,1.178,1.289,0.704,0.508,0.394,0.296
T60,,0.1075,0.1205,0.285,0.664,1.019,1.1455,0.639,0.47,0.3715,0.284
STI male,,0.92 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site2_4way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.585,0.122,0.14,0.563,0.534,0.939,0.566,0.4,0.33,0.246
T30 [s],,0.547,0.105,0.357,0.902,1.073,1.159,0.75,0.455,0.372,0.271
T60,,0.566,0.1135,0.2485,0.7325,0.8035,1.049,0.658,0.4275,0.351,0.2585
STI male,,0.96 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site2_4way_mono_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.122,0.129,0.217,0.497,0.86,1.002,0.574,0.432,0.349,0.272
T30 [s],,0.093,0.112,0.353,0.831,1.178,1.289,0.704,0.508,0.394,0.296
T60,,0.1075,0.1205,0.285,0.664,1.019,1.1455,0.639,0.47,0.3715,0.284
STI male,,0.92 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
koli_snow_site3_1way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.103,0.114,0.072,0.112,0.203,0.222,0.356,0.219,0.17,0.107
