newgrange_s1r1_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.432,0.491,0.403,0.216,0.257,0.232,0.275,0.265,0.215,0.144
T30 [s],,0.384,0.439,0.381,0.248,0.247,0.241,0.283,0.282,0.238,0.162
T60,,0.408,0.465,0.392,0.232,0.252,0.2365,0.279,0.2735,0.2265,0.153
STI male,,0.93 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
newgrange_s1r1_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.367,0.377,0.42,0.249,0.255,0.251,0.281,0.282,0.23,0.146
T30 [s],,0.339,0.351,0.402,0.303,0.254,0.248,0.279,0.284,0.242,0.159
T60,,0.353,0.364,0.411,0.276,0.2545,0.2495,0.28,0.283,0.236,0.1525
STI male,,0.93 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
newgrange_s1r1_2_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.435,0.49,0.406,0.206,0.244,0.231,0.276,0.272,0.224,0.14
T30 [s],,0.387,0.439,0.382,0.241,0.242,0.244,0.278,0.28,0.236,0.155
T60,,0.411,0.4645,0.394,0.2235,0.243,0.2375,0.277,0.276,0.23,0.1475
STI male,,0.93 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
newgrange_s1r1_2_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.365,0.378,0.422,0.247,0.259,0.254,0.285,0.276,0.235,0.144
T30 [s],,0.337,0.348,0.395,0.291,0.247,0.256,0.274,0.279,0.242,0.158
T60,,0.351,0.363,0.4085,0.269,0.253,0.255,0.2795,0.2775,0.2385,0.151
STI male,,0.94 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
newgrange_s1r1_2_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.645,0.511,0.293,0.212,0.209,0.257,0.27,0.254,0.225,0.131
T30 [s],,0.493,0.427,0.29,0.228,0.223,0.247,0.275,0.271,0.24,0.154
T60,,0.569,0.469,0.2915,0.22,0.216,0.252,0.2725,0.2625,0.2325,0.1425
STI male,,0.96 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
newgrange_s1r1_2_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
