tstr_ir_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.385,1.107,0.596,0.939,1.202,1.063,1.092,0.995,0.77,0.402
T30 [s],,1.352,0.988,0.819,1.231,1.352,1.324,1.24,1.078,0.791,0.414
T60,,1.3685,1.0475,0.7075,1.085,1.277,1.1935,1.166,1.0365,0.7805,0.408
STI male,,0.63 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
tstr_ir_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.657,1.048,0.465,0.808,1.144,1.082,1.036,0.992,0.758,0.44
T30 [s],,1.478,0.941,0.955,1.101,1.285,1.283,1.229,1.092,0.756,0.432
T60,,1.5675,0.9945,0.71,0.9545,1.2145,1.1825,1.1325,1.042,0.757,0.436
STI male,,0.64 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
tstr_ir_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.854,0.836,0.643,1,1.152,1.016,1.057,0.991,0.715,0.405
T30 [s],,1.274,0.762,0.786,1.178,1.229,1.231,1.227,1.086,0.737,0.411
T60,,1.064,0.799,0.7145,1,1.1905,1.1235,1.142,1.0385,0.726,0.408
STI male,,0.60 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
tstr_ir_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.584,0.455,0.755,0.945,1.279,1.034,1.061,0.969,0.662,0.434
T30 [s],,1.52,0.737,0.986,1.134,1.284,1.316,1.218,1.087,0.686,0.423
T60,,1.552,0.596,0.8705,1.0395,1.2815,1.175,1.1395,1.028,0.674,0.4285
STI male,,0.66 (Good),,,,,,,,,
