sp1_mp2_ir_bformat_trimmed_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,1.185,1.221,1.383,1.212,1.082,0.813,0.921,0.879,0.632
T30 [s],,1.158,1.45,1.388,1.458,1.226,0.887,0.928,0.901,0.678
T60,,1.1715,1.3355,1.3855,1.335,1.154,0.85,0.9245,0.89,0.655
STI male,,0.63 (Good),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
sp1_mp2_ir_bformat_trimmed_4,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,1.3,1.298,1.294,1.235,1.182,0.834,0.803,0.848,0.575
T30 [s],,1.287,1.45,1.412,1.429,1.26,0.885,0.869,0.875,0.647
T60,,1.2935,1.374,1.353,1.332,1.221,0.8595,0.836,0.8615,0.611
STI male,,0.63 (Good),,,,,,,,
