stairwell_ortf_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.348,1.485,0.845,0.846,1.122,1.019,0.876,0.842,0.686,0.437
T30 [s],,0.402,1.797,1.055,1.041,1.225,1.043,0.888,0.924,0.751,0.462
T60,,0.375,1.641,0.95,0.9435,1.1735,1.031,0.882,0.883,0.7185,0.4495
STI male,,0.70 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
stairwell_ortf_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.43,0.692,0.892,1,1.044,0.869,0.818,0.827,0.66,0.399
T30 [s],,0.769,1.552,1.058,1.074,1.236,1.065,0.899,0.927,0.714,0.437
T60,,0.5995,1.122,0.975,1,1.14,0.967,0.8585,0.877,0.687,0.418
STI male,,0.72 (Good),,,,,,,,,
