dales_site1_1way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.91,0.596,0.541,1.003,0.019,0.026,0.04,0.063,0.073,0.064
T30 [s],,0.823,0.827,0.623,0.769,0.082,0.071,0.07,0.075,0.074,0.057
T60,,0.8665,0.7115,0.582,0.886,0.0505,0.0485,0.055,0.069,0.0735,0.0605
STI male,,1.00 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
dales_site1_1way_bformat_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.12,0.134,0.08,0.086,0.008,0.008,0.011,0.014,0.014,0.05
T30 [s],,0.111,0.193,0.675,0.164,0.036,0.038,0.03,0.037,0.075,0.053
T60,,0.1155,0.1635,0.3775,0.125,0.022,0.023,0.0205,0.0255,0.0445,0.0515
STI male,,1.00 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
dales_site1_1way_bformat_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.165,0.611,0.445,0.713,0.852,0.905,0.818,0.485,0.271,0.062
T30 [s],,0.158,0.702,0.454,0.653,0.646,0.772,0.819,0.68,0.57,0.141
T60,,0.1615,0.6565,0.4495,0.683,0.749,0.8385,0.8185,0.5825,0.4205,0.1015
STI male,,0.95 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
dales_site1_1way_bformat_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.098,0.044,0.042,0.066,0.031,0.046,0.046,0.098,0.184,0.073
T30 [s],,0.09,0.037,0.516,0.086,0.043,0.09,0.21,0.794,0.687,0.196
T60,,0.094,0.0405,0.279,0.076,0.037,0.068,0.128,0.446,0.4355,0.1345
STI male,,1.00 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
dales_site1_1way_mono_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.91,0.596,0.541,1.003,0.019,0.026,0.04,0.063,0.073,0.064
T30 [s],,0.823,0.827,0.623,0.769,0.082,0.071,0.07,0.075,0.074,0.057
T60,,0.8665,0.7115,0.582,0.886,0.0505,0.0485,0.055,0.069,0.0735,0.0605
STI male,,1.00 (Excellent),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
dales_site1_4way_bformat_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.962,0.605,0.616,1.118,0.01,0.732,0.859,0.078,0.325,0.074
