source1domefareceiver2domelabformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.095,0.21,0.265,0.191,0.229,0.253,0.146,0.168,0.364
T30 [s],,0.158,0.17,0.146,0.17,0.204,0.238,0.145,0.072,0.573
T60,,0.1265,0.19,0.2055,0.1805,0.2165,0.2455,0.1455,0.12,0.4685
STI male,,0.95 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source1domefareceiver2domelabformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.164,0.29,0.275,0.215,0.187,0.207,0.121,0.114,0.285
T30 [s],,0.159,0.205,0.168,0.168,0.138,0.202,0.131,0.069,0.638
T60,,0.1615,0.2475,0.2215,0.1915,0.1625,0.2045,0.126,0.0915,0.4615
STI male,,0.94 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source1domefareceiver3domesibformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.068,0.049,0.023,0.027,0.031,0.149,0.035,0.043,0.789
T30 [s],,0.053,0.057,0.056,0.058,0.069,0.146,0.028,0.019,0.807
T60,,0.0605,0.053,0.0395,0.0425,0.05,0.1475,0.0315,0.031,0.798
STI male,,0.98 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source1domefareceiver3domesibformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.076,0.083,0.103,0.16,0.118,0.11,0.099,0.111,0.652
T30 [s],,0.082,0.068,0.09,0.115,0.085,0.082,0.069,0.102,0.72
T60,,0.079,0.0755,0.0965,0.1375,0.1015,0.096,0.084,0.1065,0.686
STI male,,0.97 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source1domefareceiver4domedobformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.086,0.044,0.043,0.041,0.035,0.035,0.07,0.043,0.796
T30 [s],,0.08,0.037,0.213,0.309,0.055,0.034,0.036,0.044,0.793
T60,,0.083,0.0405,0.128,0.175,0.045,0.0345,0.053,0.0435,0.7945
STI male,,0.95 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source1domefareceiver4domedobformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.074,0.058,0.062,0.028,0.035,0.04,0.042,0.034,0.782
T30 [s],,0.067,0.045,0.169,0.105,0.043,0.039,0.037,0.132,0.777
T60,,0.0705,0.0515,0.1155,0.0665,0.039,0.0395,0.0395,0.083,0.7795
STI male,,0.96 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source1domefareceiver5domemibformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.095,0.043,0.045,0.048,0.069,0.076,0.054,0.033,0.69
T30 [s],,0.076,0.04,0.059,0.051,0.05,0.044,0.047,0.034,0.784
T60,,0.0855,0.0415,0.052,0.0495,0.0595,0.06,0.0505,0.0335,0.737
STI male,,0.92 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source1domefareceiver5domemibformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.203,0.379,0.326,0.222,0.216,0.193,0.152,0.059,0.421
T30 [s],,0.161,0.295,0.212,0.195,0.163,0.136,0.104,0.089,0.553
T60,,0.182,0.337,0.269,0.2085,0.1895,0.1645,0.128,0.074,0.487
STI male,,0.89 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source2domelareceiver1domefabformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.072,0.057,0.073,0.05,0.057,0.058,0.154,0.066,0.087
T30 [s],,0.061,0.051,0.064,0.05,0.043,0.063,0.148,0.04,0.417
T60,,0.0665,0.054,0.0685,0.05,0.05,0.0605,0.151,0.053,0.252
STI male,,0.97 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source2domelareceiver1domefabformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.096,0.089,0.118,0.102,0.131,0.103,0.091,0.056,0.359
T30 [s],,0.109,0.08,0.061,0.083,0.115,0.099,0.064,0.055,0.606
T60,,0.1025,0.0845,0.0895,0.0925,0.123,0.101,0.0775,0.0555,0.4825
STI male,,0.95 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source2domelareceiver3domesibformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.074,0.102,0.122,0.051,0.063,0.107,0.136,0.085,0.691
T30 [s],,0.066,0.085,0.24,0.026,0.026,0.053,0.132,0.136,0.718
T60,,0.07,0.0935,0.181,0.0385,0.0445,0.08,0.134,0.1105,0.7045
STI male,,0.90 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source2domelareceiver3domesibformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.105,0.11,0.154,0.148,0.1,0.135,0.119,0.103,0.095
T30 [s],,0.153,0.103,0.094,0.092,0.068,0.071,0.095,0.097,0.365
T60,,0.129,0.1065,0.124,0.12,0.084,0.103,0.107,0.1,0.23
STI male,,0.95 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source2domelareceiver4domedobformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.114,0.088,0.065,0.074,0.058,0.064,0.045,0.069,0.554
T30 [s],,0.17,0.187,0.192,0.193,0.059,0.062,0.047,0.045,0.66
T60,,0.142,0.1375,0.1285,0.1335,0.0585,0.063,0.046,0.057,0.607
STI male,,0.97 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source2domelareceiver4domedobformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.077,0.066,0.069,0.062,0.087,0.106,0.096,0.108,0.387
T30 [s],,0.084,0.061,0.048,0.051,0.063,0.061,0.086,0.072,0.596
T60,,0.0805,0.0635,0.0585,0.0565,0.075,0.0835,0.091,0.09,0.4915
STI male,,0.94 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source2domelareceiver5domemibformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.146,0.195,0.115,--,0.089,0.108,0.165,0.069,0.278
T30 [s],,0.149,0.175,0.138,--,0.087,0.105,0.065,0.066,0.421
T60,,0.1475,0.185,0.1265,T60,0.088,0.1065,0.115,0.0675,0.3495
STI male,,0.94 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source2domelareceiver5domemibformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.192,0.064,0.158,0.176,0.131,0.106,0.09,0.06,0.147
