councilchamber_s1_r1_ir_1_96000_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.979,0.801,0.687,0.817,0.918,0.971,0.871,0.79,0.645,0.388
T30 [s],,1.22,0.936,0.726,0.855,0.938,0.95,0.88,0.797,0.659,0.397
T60,,1.0995,0.8685,0.7065,0.836,0.928,0.9605,0.8755,0.7935,0.652,0.3925
STI male,,0.64 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r1_ir_1_96000_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.978,0.894,0.866,0.856,0.879,0.953,0.868,0.815,0.626,0.405
T30 [s],,1.266,0.926,0.833,0.82,0.9,0.95,0.888,0.823,0.646,0.419
T60,,1.122,0.91,0.8495,0.838,0.8895,0.9515,0.878,0.819,0.636,0.412
STI male,,0.66 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r1_ir_1_96000_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.304,1.065,0.874,0.866,0.916,0.974,0.915,0.806,0.614,0.395
T30 [s],,1.274,1.488,0.799,0.824,0.93,0.987,0.9,0.821,0.63,0.412
T60,,1.289,1.2765,0.8365,0.845,0.923,0.9805,0.9075,0.8135,0.622,0.4035
STI male,,0.62 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r1_ir_1_96000_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.413,0.911,0.839,0.812,0.912,0.925,0.879,0.781,0.622,0.4
T30 [s],,1.475,1.484,0.753,0.83,0.949,0.935,0.886,0.804,0.638,0.411
T60,,1.444,1.1975,0.796,0.821,0.9305,0.93,0.8825,0.7925,0.63,0.4055
STI male,,0.65 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r2_ir_1_96000_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.1,0.878,0.85,0.784,0.912,0.965,0.873,0.79,0.652,0.374
T30 [s],,1.321,0.9,0.844,0.819,0.935,0.965,0.888,0.797,0.675,0.392
T60,,1.2105,0.889,0.847,0.8015,0.9235,0.965,0.8805,0.7935,0.6635,0.383
STI male,,0.64 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r2_ir_1_96000_2,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.344,0.934,0.715,0.761,0.93,0.978,0.895,0.816,0.605,0.385
T30 [s],,1.296,1.13,0.69,0.827,0.916,0.945,0.895,0.8,0.629,0.404
T60,,1.32,1.032,0.7025,0.794,0.923,0.9615,0.895,0.808,0.617,0.3945
STI male,,0.67 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r2_ir_1_96000_3,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.833,0.929,0.765,0.738,0.882,0.949,0.92,0.818,0.617,0.386
T30 [s],,1.1,0.933,0.871,0.825,0.922,0.961,0.905,0.808,0.637,0.4
T60,,0.9665,0.931,0.818,0.7815,0.902,0.955,0.9125,0.813,0.627,0.393
STI male,,0.62 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r2_ir_1_96000_4,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,0.931,1.31,0.977,0.762,0.974,0.975,0.857,0.79,0.642,0.387
T30 [s],,1.041,1.454,0.967,0.812,0.949,0.983,0.874,0.796,0.636,0.405
T60,,0.986,1.382,0.972,0.787,0.9615,0.979,0.8655,0.793,0.639,0.396
STI male,,0.62 (Good),,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
councilchamber_s1_r3_ir_1_96000_1,,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000,16000
T20 [s],,1.099,0.741,0.64,0.775,0.897,1.005,0.918,0.81,0.653,0.39
T30 [s],,1.246,0.843,0.79,0.838,0.896,0.965,0.906,0.82,0.668,0.399
