Test ID:,Ver:,fs:,Room:,Room Config:,Channel:,Freq band:,Centre freq:,DRR:,DRR Mean (Ch):,T60:,T60 Mean (Ch):,FB DRR :,FB DRR Mean (Ch):,FB T60:,FB T60 Mean (Ch):,Filename
1,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
2,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,2,0.000000,0.000000,0.000000,0.760000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
3,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
4,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
5,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,5,0.000000,0.000000,0.000000,0.740000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
6,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
7,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
8,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,8,0.000000,0.000000,0.000000,0.610000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
9,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
10,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
11,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,11,0.000000,0.000000,0.000000,0.460000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
12,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
13,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,13,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
14,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,14,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
15,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
16,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,16,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
17,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,17,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
18,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
19,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,19,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
20,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,20,0.000000,0.000000,0.000000,0.390000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
21,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
22,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
23,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,23,0.000000,0.000000,0.000000,0.370000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
24,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
25,1,16000,dales_site2_1way_bformat_3,trollers-gill,1,25,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Unknown_trollers-gill_dales_site2_1way_bformat_3_<talker>_<utter>_<noise>_<SNR>dB.wav
