Test ID:,Ver:,fs:,Room:,Session ID:,Mic Pos:,Source Pos:,Config:,Rec Type:,RIR:,Freq band:,Centre freq:,Channel:,DRR:,DRR Mean (Ch):,T60 AHM:,T30 ISO:,T20 ISO:,T60 AHM Mean (Ch):,T30 ISO Mean (Ch):,T20 ISO Mean (Ch):,ISO AHM Ints:,FB DRR :,FB DRR Mean (Ch):,FB T60 AHM:,FB T30 ISO:,FB T20 ISO:,FB T60 AHM Mean (Ch):,FB T30 ISO Mean (Ch):,FB T20 ISO Mean (Ch):,DRR direct +:,DRR direct -:
1,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,1,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,2,0,1.0,0,0,0.681999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,3,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,4,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,5,0,1.0,0,0,0.707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,6,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,7,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,8,0,1.0,0,0,0.6325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,9,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,10,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,11,0,1.0,0,0,0.6265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,12,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,13,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,14,0,1.0,0,0,0.3145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,15,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,16,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,17,0,1.0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,18,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,19,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,20,0,1.0,0,0,0.3205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,21,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,22,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,23,0,1.0,0,0,0.318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,48000,tunnel_entrance_a_1way_bformat_3,NAN,1,2,innocent-railway-tunnel,IR,tunnel_entrance_a_1way_bformat_3,24,0,1.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
